place,movie_title,rating,year,star_cast
238,Les quatre cents coups,8.016098221200856,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
239,Persona,8.015806011521907,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
240,Babam ve Oglum,8.014708570995337,2005,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
241,Life of Brian,8.014461476383927,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
242,Dersu Uzala,8.013740532004382,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
243,The Sound of Music,8.013740389740216,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
244,It Happened One Night,8.01370790710025,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
245,Ah-ga-ssi,8.009279431605302,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
246,Aladdin,8.006986834607543,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
247,Gandhi,8.006329103721178,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
248,Jai Bhim,8.005429982406653,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
249,The Help,8.004664612465229,2011,"Tate Taylor (dir.), Emma Stone, Viola Davis"
250,Beauty and the Beast,8.002972129805809,1991,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson"
